agency,state,type,year,month,offense,count
Battle Creek Police Department,MI,City,2026,1,Murder,0
Battle Creek Police Department,MI,City,2026,1,Rape,5
Battle Creek Police Department,MI,City,2026,1,Robbery,2
Battle Creek Police Department,MI,City,2026,1,Aggravated Assault,35
Battle Creek Police Department,MI,City,2026,1,Burglary,12
Battle Creek Police Department,MI,City,2026,1,Theft,93
Battle Creek Police Department,MI,City,2026,1,Motor Vehicle Theft,1
Lansing Police Department,MI,City,2026,1,Murder,0
Lansing Police Department,MI,City,2026,1,Rape,0
Lansing Police Department,MI,City,2026,1,Robbery,0
Lansing Police Department,MI,City,2026,1,Aggravated Assault,2
Lansing Police Department,MI,City,2026,1,Burglary,0
Lansing Police Department,MI,City,2026,1,Theft,2
Lansing Police Department,MI,City,2026,1,Motor Vehicle Theft,2
Lansing Police Department,MI,City,2026,1,Murder,0
Lansing Police Department,MI,City,2026,1,Rape,10
Lansing Police Department,MI,City,2026,1,Robbery,2
Lansing Police Department,MI,City,2026,1,Aggravated Assault,70
Lansing Police Department,MI,City,2026,1,Burglary,25
Lansing Police Department,MI,City,2026,1,Theft,114
Lansing Police Department,MI,City,2026,1,Motor Vehicle Theft,34
Kalamazoo County Sheriff's Office,MI,County,2026,1,Murder,0
Kalamazoo County Sheriff's Office,MI,County,2026,1,Rape,3
Kalamazoo County Sheriff's Office,MI,County,2026,1,Robbery,2
Kalamazoo County Sheriff's Office,MI,County,2026,1,Aggravated Assault,21
Kalamazoo County Sheriff's Office,MI,County,2026,1,Burglary,13
Kalamazoo County Sheriff's Office,MI,County,2026,1,Theft,88
Kalamazoo County Sheriff's Office,MI,County,2026,1,Motor Vehicle Theft,4
Kalamazoo Department of Public Safety,MI,City,2026,1,Murder,2
Kalamazoo Department of Public Safety,MI,City,2026,1,Rape,2
Kalamazoo Department of Public Safety,MI,City,2026,1,Robbery,8
Kalamazoo Department of Public Safety,MI,City,2026,1,Aggravated Assault,31
Kalamazoo Department of Public Safety,MI,City,2026,1,Burglary,23
Kalamazoo Department of Public Safety,MI,City,2026,1,Theft,60
Kalamazoo Department of Public Safety,MI,City,2026,1,Motor Vehicle Theft,16
Grand Rapids Police Department,MI,City,2026,1,Murder,1
Grand Rapids Police Department,MI,City,2026,1,Rape,11
Grand Rapids Police Department,MI,City,2026,1,Robbery,12
Grand Rapids Police Department,MI,City,2026,1,Aggravated Assault,90
Grand Rapids Police Department,MI,City,2026,1,Burglary,22
Grand Rapids Police Department,MI,City,2026,1,Theft,256
Grand Rapids Police Department,MI,City,2026,1,Motor Vehicle Theft,28
Kent County Sheriff's Office,MI,County,2026,1,Murder,0
Kent County Sheriff's Office,MI,County,2026,1,Rape,6
Kent County Sheriff's Office,MI,County,2026,1,Robbery,0
Kent County Sheriff's Office,MI,County,2026,1,Aggravated Assault,24
Kent County Sheriff's Office,MI,County,2026,1,Burglary,14
Kent County Sheriff's Office,MI,County,2026,1,Theft,88
Kent County Sheriff's Office,MI,County,2026,1,Motor Vehicle Theft,9
Wyoming Police Department,MI,City,2026,1,Murder,0
Wyoming Police Department,MI,City,2026,1,Rape,5
Wyoming Police Department,MI,City,2026,1,Robbery,2
Wyoming Police Department,MI,City,2026,1,Aggravated Assault,17
Wyoming Police Department,MI,City,2026,1,Burglary,7
Wyoming Police Department,MI,City,2026,1,Theft,106
Wyoming Police Department,MI,City,2026,1,Motor Vehicle Theft,7
Livingston County Sheriff's Office,MI,County,2026,1,Murder,0
Livingston County Sheriff's Office,MI,County,2026,1,Rape,0
Livingston County Sheriff's Office,MI,County,2026,1,Robbery,0
Livingston County Sheriff's Office,MI,County,2026,1,Aggravated Assault,2
Livingston County Sheriff's Office,MI,County,2026,1,Burglary,0
Livingston County Sheriff's Office,MI,County,2026,1,Theft,18
Livingston County Sheriff's Office,MI,County,2026,1,Motor Vehicle Theft,1
Clinton Township Police Department,MI,City,2026,1,Murder,1
Clinton Township Police Department,MI,City,2026,1,Rape,4
Clinton Township Police Department,MI,City,2026,1,Robbery,1
Clinton Township Police Department,MI,City,2026,1,Aggravated Assault,17
Clinton Township Police Department,MI,City,2026,1,Burglary,8
Clinton Township Police Department,MI,City,2026,1,Theft,69
Clinton Township Police Department,MI,City,2026,1,Motor Vehicle Theft,12
Macomb County Sheriff's Office,MI,County,2026,1,Murder,0
Macomb County Sheriff's Office,MI,County,2026,1,Rape,4
Macomb County Sheriff's Office,MI,County,2026,1,Robbery,1
Macomb County Sheriff's Office,MI,County,2026,1,Aggravated Assault,20
Macomb County Sheriff's Office,MI,County,2026,1,Burglary,4
Macomb County Sheriff's Office,MI,County,2026,1,Theft,20
Macomb County Sheriff's Office,MI,County,2026,1,Motor Vehicle Theft,4
Saint Clair Shores Police Department,MI,City,2026,1,Murder,0
Saint Clair Shores Police Department,MI,City,2026,1,Rape,0
Saint Clair Shores Police Department,MI,City,2026,1,Robbery,0
Saint Clair Shores Police Department,MI,City,2026,1,Aggravated Assault,5
Saint Clair Shores Police Department,MI,City,2026,1,Burglary,3
Saint Clair Shores Police Department,MI,City,2026,1,Theft,20
Saint Clair Shores Police Department,MI,City,2026,1,Motor Vehicle Theft,9
Shelby Township Police Department,MI,City,2026,1,Murder,0
Shelby Township Police Department,MI,City,2026,1,Rape,1
Shelby Township Police Department,MI,City,2026,1,Robbery,0
